macaco,ANIMAL
urso,ANIMAL
abelha,ANIMAL
abutre,ANIMAL
acaro,ANIMAL
aguia,ANIMAL
albatroz,ANIMAL
alce,ANIMAL
alpaca,ANIMAL
anaconda,ANIMAL
anchova,ANIMAL
andorinha,ANIMAL
anta,ANIMAL
antilope,ANIMAL
aranha,ANIMAL
arara,ANIMAL
asno,ANIMAL
atum,ANIMAL
avestruz,ANIMAL
babuino,ANIMAL
bacalhau,ANIMAL
bacuri,ANIMAL
badejo,ANIMAL
bagre,ANIMAL
baiacu,ANIMAL
baleia,ANIMAL
barata,ANIMAL
barbo,ANIMAL
barracuda,ANIMAL
beija-flor,ANIMAL
besouro,ANIMAL
bem-te-vi,ANIMAL
bezerro,ANIMAL
bicho-da-seda,ANIMAL
bisonte,ANIMAL
boa,ANIMAL
bode,ANIMAL
boi,ANIMAL
borboleta,ANIMAL
boto,ANIMAL
bufalo,ANIMAL
burro,ANIMAL
cabra,ANIMAL
cachalote,ANIMAL
cachorro,ANIMAL
cagado,ANIMAL
camaleao,ANIMAL
camarao,ANIMAL
camelo,ANIMAL
camundongo,ANIMAL
canario,ANIMAL
canguru,ANIMAL
capivara,ANIMAL
caracol,ANIMAL
caranguejo,ANIMAL
carneiro,ANIMAL
carrapato,ANIMAL
cascavel,ANIMAL
castor,ANIMAL
cavalo,ANIMAL
cavalo-marinho,ANIMAL
cegonha,ANIMAL
centopeia,ANIMAL
chimpanze,ANIMAL
chinchila,ANIMAL
chita,ANIMAL
cigarra,ANIMAL
cisne,ANIMAL
coala,ANIMAL
cobra,ANIMAL
codorna,ANIMAL
coelho,ANIMAL
coiote,ANIMAL
coruja,ANIMAL
corvo,ANIMAL
crocodilo,ANIMAL
cupim,ANIMAL
cutia,ANIMAL
damao,ANIMAL
dançador,ANIMAL
degolado,ANIMAL
degu,ANIMAL
diablotim,ANIMAL
diabo-da-tasmania,ANIMAL
diamante-de-gould,ANIMAL
dingo,ANIMAL
dinossauro,ANIMAL
dodo,ANIMAL
doninha,ANIMAL
dourado,ANIMAL
dragao-de-komodo,ANIMAL
dragao-do-banhado,ANIMAL
dragao-voador,ANIMAL
dromedario,ANIMAL
dugongo,ANIMAL
egua,ANIMAL
elefante,ANIMAL
elefante-marinho,ANIMAL
ema,ANIMAL
enchova,ANIMAL
enferrujado,ANIMAL
enguia,ANIMAL
enho,ANIMAL
escaravelho,ANIMAL
escorpiao,ANIMAL
escrevedeira,ANIMAL
esmerilhao,ANIMAL
espadarte,ANIMAL
esponja,ANIMAL
esquilo,ANIMAL
estorninho,ANIMAL
estrela-do-mar,ANIMAL
esturjao,ANIMAL
faisao,ANIMAL
falcao,ANIMAL
ferreirinho,ANIMAL
flamingo,ANIMAL
flautim,ANIMAL
foca,ANIMAL
formiga,ANIMAL
fossa,ANIMAL
fraca-da-guine,ANIMAL
frango-d'agua,ANIMAL
freirinha,ANIMAL
fuinha,ANIMAL
furao,ANIMAL
gafanhoto,ANIMAL
gaivota,ANIMAL
galinha,ANIMAL
galo,ANIMAL
gamba,ANIMAL
gamo,ANIMAL
ganso,ANIMAL
garça,ANIMAL
garoupa,ANIMAL
gato,ANIMAL
gaviao,ANIMAL
gazela,ANIMAL
geco,ANIMAL
gerbo,ANIMAL
gibao,ANIMAL
girafa,ANIMAL
girino,ANIMAL
gnu,ANIMAL
golfinho,ANIMAL
gorila,ANIMAL
gralha,ANIMAL
grifo,ANIMAL
grilo,ANIMAL
grou,ANIMAL
guara:,ANIMAL
guaxinim,ANIMAL
hadoque,ANIMAL
hamster,ANIMAL
harpia,ANIMAL
hiena,ANIMAL
hipopotamo,ANIMAL
hirax,ANIMAL
iaque,ANIMAL
ibex,ANIMAL
ibis,ANIMAL
iguana,ANIMAL
iguanara,ANIMAL
impala,ANIMAL
indicador,ANIMAL
indri,ANIMAL
inhacoso,ANIMAL
inhala,ANIMAL
inhambu,ANIMAL
irapua,ANIMAL
irara,ANIMAL
iratim,ANIMAL
itapema,ANIMAL
jabiru,ANIMAL
jabuti,ANIMAL
jaçana,ANIMAL
jacare,ANIMAL
jacu,ANIMAL
jacupara,ANIMAL
jaguar,ANIMAL
jamanta,ANIMAL
jararaca,ANIMAL
javali,ANIMAL
jegue,ANIMAL
jiboia,ANIMAL
joaninha,ANIMAL
joao-de-barro,ANIMAL
jumento,ANIMAL
kakapo,ANIMAL
kea,ANIMAL
kinguio,ANIMAL
kiwi,ANIMAL
koala,ANIMAL
kookaburra,ANIMAL
kowari,ANIMAL
krill,ANIMAL
kudu,ANIMAL
lacraia,ANIMAL
lagarta,ANIMAL
lagartixa,ANIMAL
lagarto,ANIMAL
lagosta,ANIMAL
lampreia,ANIMAL
lavadeira,ANIMAL
lavagante,ANIMAL
leao,ANIMAL
leao-marinho,ANIMAL
lebre,ANIMAL
lemure,ANIMAL
leopardo,ANIMAL
lesma,ANIMAL
lhama,ANIMAL
libelula,ANIMAL
lince,ANIMAL
linguado,ANIMAL
lobo,ANIMAL
lombriga,ANIMAL
lontra,ANIMAL
lula,ANIMAL
macaco,ANIMAL
